case_id,BEASE,FIN,BPRAC,EPSY,ENVO,GROWTH
IP_001,0.92,0.92,0.88,0.88,0.83,0.95
IP_002,0.25,0.88,0.86,0.86,0.25,0.3
IP_003,0.831,0.02,0.821,0.473,0.195,0.02
IP_004,0.74,0.851,0.838,0.2,0.822,0.8
IP_005,0.84,0.842,0.186,0.199,0.191,0.84
IP_006,0.847,0.857,0.835,0.25,0.501,0.95
IP_007,0.02,0.02,0.443,0.552,0.35,0.02
IP_008,0.02,0.821,0.2,0.437,0.819,0.02
IP_009,0.02,0.02,0.838,0.852,0.498,0.02
IP_010,0.855,0.856,0.861,0.854,0.859,0.02
IP_011,0.02,0.02,0.852,0.845,0.494,0.02
IP_012,0.02,0.02,0.86,0.835,0.512,0.02
IP_013,0.02,0.02,0.837,0.839,0.493,0.02
IP_014,0.84,0.02,0.826,0.451,0.206,0.02
IP_015,0.863,0.836,0.86,0.25,0.28,0.84
IP_016,0.835,0.823,0.215,0.209,0.198,0.02
IP_017,0.85,0.846,0.858,0.26,0.24,0.86
IP_018,0.86,0.834,0.854,0.199,0.2,0.84
IP_019,0.02,0.843,0.2,0.457,0.832,0.02
IP_020,0.848,0.851,0.834,0.25,0.501,0.95
IP_021,0.02,0.841,0.2,0.465,0.833,0.02
IP_022,0.02,0.02,0.845,0.838,0.502,0.02
IP_023,0.839,0.02,0.829,0.494,0.204,0.02
IP_024,0.855,0.02,0.856,0.489,0.209,0.02
IP_025,0.829,0.846,0.15,0.853,0.18,0.95
IP_026,0.02,0.02,0.81,0.836,0.508,0.02
IP_027,0.02,0.02,0.838,0.827,0.511,0.02
IP_028,0.02,0.02,0.455,0.539,0.325,0.02
IP_029,0.849,0.858,0.838,0.25,0.501,0.95
IP_030,0.85,0.852,0.829,0.817,0.822,0.86
IP_031,0.02,0.02,0.84,0.826,0.499,0.02
IP_032,0.02,0.819,0.2,0.451,0.852,0.02
IP_033,0.02,0.02,0.443,0.554,0.348,0.02
IP_034,0.02,0.833,0.2,0.445,0.831,0.02
IP_035,0.816,0.873,0.183,0.162,0.186,0.02
IP_036,0.833,0.84,0.217,0.183,0.846,0.84
IP_037,0.02,0.02,0.828,0.856,0.483,0.02
IP_038,0.02,0.836,0.2,0.436,0.828,0.02
IP_039,0.852,0.835,0.15,0.857,0.18,0.95
IP_040,0.02,0.02,0.461,0.536,0.349,0.02
IP_041,0.839,0.822,0.197,0.222,0.2,0.84
IP_042,0.853,0.852,0.875,0.867,0.874,0.84
IP_043,0.02,0.841,0.2,0.448,0.831,0.02
IP_044,0.02,0.02,0.834,0.835,0.486,0.02
IP_045,0.02,0.02,0.84,0.842,0.497,0.02
IP_046,0.02,0.02,0.835,0.855,0.501,0.02
IP_047,0.74,0.865,0.835,0.2,0.85,0.92
IP_048,0.831,0.02,0.841,0.498,0.197,0.02
IP_049,0.846,0.02,0.846,0.473,0.168,0.02
IP_050,0.02,0.02,0.853,0.82,0.502,0.02
IP_051,0.74,0.843,0.868,0.2,0.843,0.92
IP_052,0.02,0.02,0.839,0.846,0.507,0.02
IP_053,0.845,0.848,0.834,0.25,0.501,0.95
IP_054,0.02,0.02,0.465,0.531,0.369,0.02
IP_055,0.855,0.02,0.829,0.468,0.222,0.02
IP_056,0.02,0.02,0.466,0.554,0.355,0.02
IP_057,0.02,0.02,0.831,0.865,0.493,0.02
IP_058,0.02,0.02,0.853,0.85,0.526,0.02
IP_059,0.02,0.02,0.83,0.846,0.486,0.02
IP_060,0.826,0.829,0.84,0.189,0.179,0.02
IP_061,0.02,0.02,0.818,0.849,0.518,0.02
IP_062,0.02,0.855,0.2,0.437,0.848,0.02
IP_063,0.02,0.02,0.435,0.55,0.36,0.02
IP_064,0.02,0.02,0.455,0.558,0.362,0.02
IP_065,0.02,0.833,0.2,0.443,0.849,0.02
IP_066,0.02,0.839,0.2,0.437,0.836,0.02
IP_067,0.02,0.02,0.456,0.553,0.352,0.02
